"GEOGRAPHIC PROFILE OF EMPLOYMENT AND UNEMPLOYMENT 
2019 ANNUAL AVERAGES 
Table 25.  States: unemployed people by gender, race, Hispanic or Latino ethnicity, and reason for unemployment",,,,,,
[In thousands],,,,,,
,,,,,,
Population group and state,Total,Job losers and people who completed temporary jobs,,Job leavers,Reentrants,New entrants
,,Total,On temporary layoff,,,
,,,,,,
TOTAL,,,,,,
Alabama,67,26,4,14,21,7
Alaska,21,13,5,3,4,1
Arizona,171,67,18,30,58,16
Arkansas,48,22,7,7,16,3
California,790,397,123,87,214,92
Colorado,80,33,6,20,25,3
Connecticut,73,37,9,8,20,8
Delaware,19,13,4,3,3,1
District of Columbia,24,8,2,3,11,2
Florida,323,136,21,56,94,38
Georgia,174,75,12,29,50,20
Hawaii,19,8,3,2,6,2
Idaho,26,12,5,5,6,3
Illinois,255,131,37,28,69,27
Indiana,116,61,19,17,30,8
Iowa,49,28,12,4,14,3
Kansas,46,21,6,9,13,3
Kentucky,88,41,10,11,29,7
Louisiana,100,43,10,11,33,14
Maine,21,10,4,3,7,2
Maryland,118,52,9,18,37,11
Massachusetts,112,57,16,13,32,10
Michigan,198,92,37,26,58,22
Minnesota,101,62,28,8,28,2
Mississippi,71,30,8,5,24,13
Missouri,99,41,14,19,32,7
Montana,19,9,5,4,5,1
Nebraska,34,12,6,6,13,2
Nevada,63,31,9,10,18,4
New Hampshire,20,8,3,3,7,2
New Jersey,159,83,18,11,43,22
New Mexico,47,20,5,6,16,5
New York,376,170,55,33,128,46
North Carolina,200,75,23,29,75,21
North Dakota,9,5,2,1,3,(1)-
Ohio,232,98,34,36,77,21
Oklahoma,63,29,5,10,19,5
Oregon,80,35,12,13,23,8
Pennsylvania,275,132,44,46,75,22
Rhode Island,19,11,4,3,4,2
South Carolina,69,34,7,9,21,4
South Dakota,16,5,2,3,7,2
Tennessee,113,49,16,17,38,9
Texas,489,213,50,68,157,50
Utah,41,19,10,6,14,3
Vermont,8,5,2,1,2,(1)-
Virginia,125,61,16,15,37,12
Washington,167,85,34,22,47,14
West Virginia,39,17,7,6,11,4
Wisconsin,104,54,21,13,29,8
Wyoming,10,5,2,2,4,1
,,,,,,
Men,,,,,,
Alabama,32,15,3,4,8,4
Alaska,14,9,3,2,2,1
Arizona,84,32,10,15,27,10
Arkansas,25,14,5,4,5,2
California,428,231,70,49,102,46
Colorado,38,19,3,11,8,1
Connecticut,41,24,6,4,10,4
Delaware,11,7,2,2,1,(1)-
District of Columbia,12,4,1,1,5,1
Florida,165,74,10,31,41,19
Georgia,87,42,7,14,21,10
Hawaii,12,6,2,2,4,1
Idaho,15,7,3,3,3,2
Illinois,137,78,21,12,35,12
Indiana,65,37,11,9,15,5
Iowa,29,20,9,2,6,2
Kansas,26,13,3,6,6,1
Kentucky,54,29,6,8,13,5
Louisiana,47,23,6,3,14,8
Maine,13,6,3,2,3,1
Maryland,60,25,4,12,17,5
Massachusetts,63,35,11,8,16,4
Michigan,107,54,21,16,24,13
Minnesota,62,38,20,6,16,2
Mississippi,35,17,5,3,10,6
Missouri,48,23,5,8,13,5
Montana,10,5,3,2,2,(1)-
Nebraska,20,7,4,3,8,1
Nevada,36,20,6,7,8,2
New Hampshire,11,5,2,1,4,1
New Jersey,85,47,12,7,16,14
New Mexico,26,12,3,3,8,3
New York,210,100,30,18,64,28
North Carolina,103,46,12,14,33,10
North Dakota,5,3,2,1,1,(1)-
Ohio,130,61,22,17,40,12
Oklahoma,31,14,2,5,9,4
Oregon,44,20,6,7,12,5
Pennsylvania,152,70,22,27,42,12
